e2e3,e7e6
e2e3,d7d6
e2e3,c7c6
d2d3,d7d6
d2d3,e7e6
d2d3,c7c6
c2c3,c7c6
c2c3,e7e6
f2f3,f7f6
f2f3,e7e6
e2d3,e7d6
e2f3,e7f6
d2e3,d7e6
d2c3,d7c6
c2d3,c7d6
c2b3,c7b6
f2e3,f7e6
f2g3,f7g6
g2f3,g7f6
g2h3,g7h6
b2c3,b7c6
b2a3,b7a6
h2g3,h7g6
a2b3,a7b6
g1f3,g8f6
g1h3,g8h6
b1c3,b8c6
b1a3,b8a6
g1f3,b8c6
b1c3,g8f6
e2e3,g8f6
d2d3,b8c6
g1f3,e7e6
b1c3,d7d6
g1f3,d7d6
b1c3,e7e6
e2e3,e7e6,d2d3,d7d6
e2e3,e7e6,g1f3,g8f6
d2d3,d7d6,c2c3,c7c6
g1f3,g8f6,b1c3,b8c6
e2d3,e7d6,d3e4,d6e5
h2g3,a7b6,g3f4,b6c5
c2d3,h7g6,d3e4,g6f5
e2e3,e7e6,e3e4,e6e5
g1f3,g8f6,g2g3,g7g6,f1g2,f8g7
b1c3,b8c6,b2b3,b7b6,c1b2,c8b7
e2e3,e7e6,g1f3,g8f6,f1e2,f8e7,e1g1,e8g8
d2d3,d7d6,g1f3,g8f6,e2e3,e7e6,f1e2,f8e7
h2g3,h7g6,g1f3,g8f6,g3g4,g6g5
a2b3,h7g6,b3c4,g6f5
